iter	Logloss
260	0.3199682641
261	0.3196895574
262	0.3189600806
263	0.3185513626
264	0.3179942974
265	0.3173534756
266	0.3167529661
267	0.3158542363
268	0.3150381656
269	0.3148058744
270	0.3140715258
271	0.3134179357
272	0.3125108544
273	0.3121193749
274	0.3118678108
275	0.3112158536
276	0.3101570254
277	0.3091744052
278	0.3088765864
279	0.3085442103
280	0.3080409484
281	0.3075723508
282	0.3069358654
283	0.3062202275
284	0.3057448041
285	0.3051938151
286	0.3049806362
287	0.3040437087
288	0.3028947264
289	0.3026315451
290	0.302231955
291	0.3017385169
292	0.3015622775
293	0.3009583953
294	0.300338158
295	0.2998298637
296	0.2994443267
297	0.2987041159
298	0.2981414562
299	0.2975176052
300	0.2972524431
301	0.2961770189
302	0.2956525568
303	0.2951640707
304	0.2945663451
305	0.2937931297
306	0.293113093
307	0.2925441964
308	0.2919716058
309	0.2912739291
310	0.2905894757
311	0.290467816
312	0.2899010875
313	0.2892119498
314	0.2886586588
315	0.2882904406
316	0.2874709168
317	0.286934195
318	0.2864953097
319	0.2854787747
320	0.285133095
321	0.2844898909
322	0.2840316524
323	0.2835964878
324	0.2829156482
325	0.2820315068
326	0.2814953472
327	0.2806226625
328	0.279961283
329	0.2794933814
330	0.2789753704
331	0.278393652
332	0.2778500777
333	0.2771658117
334	0.2764991857
335	0.2761304054
336	0.2755110514
337	0.2748472895
338	0.2741399229
339	0.2734885011
340	0.2730787392
341	0.2727062648
342	0.2721383319
343	0.2714556987
344	0.2713074317
345	0.2708770318
346	0.2700651101
347	0.2696683841
348	0.2689117914
349	0.2685352752
350	0.2678684618
351	0.2677550465
352	0.2668518733
353	0.2662634896
354	0.2656971359
355	0.26528807
356	0.2648989461
357	0.2644436789
358	0.263785806
359	0.2627921842
360	0.2623428595
361	0.261407538
362	0.2609397702
363	0.2603915919
364	0.2598116402
365	0.2595397326
366	0.2590366045
367	0.258439789
368	0.2582943326
369	0.257747225
370	0.2572840613
371	0.2570302755
372	0.2563290387
373	0.2562180325
374	0.2560026318
375	0.255433173
376	0.2549168217
377	0.2548561122
378	0.2542689332
379	0.2534249971
380	0.2528595535
381	0.2521082609
382	0.2518508347
383	0.2514107716
384	0.2508989172
385	0.2503866345
386	0.2493424215
387	0.2489536456
388	0.2485422776
389	0.2481909499
390	0.2480649002
391	0.2475588277
392	0.2471995766
393	0.2468836627
394	0.2465208248
395	0.2460505944
396	0.2455497951
397	0.2449719045
398	0.2442897532
399	0.2439240243
